bench_id,task_id
agentbench,right-tool-choice
clawbench,sys-011
clawbench,web-013
clawbench,db-005
clawbench,cont-002-topic-modeling
clawbench,web-012
clawbench,wfl-008
clawbench,xdom-006
clawbench,wfl-015
clawbench,mem-005
clawbench,sci-004-signal-processing
clawbench,sys-014
clawbench,code-011
clawbench,code-007
clawbench,sys-013
clawbench,wfl-011
clawbench,cs-004-ci-pipeline
clawbench,eml-002
clawbench,sys-012
claweval,C30zh_data_troubleshooting
claweval,C13zh_psychology_statistics
claweval,C16en_hr_workforce_planning
claweval,C22zh_experimental_psychology
claweval,C27zh_data_automation
claweval,T009zh_contact_lookup
claweval,T015zh_kb_search
claweval,T016_kb_search
claweval,T019zh_inventory_check
claweval,T024_crm_data_export
claweval,T042_scheduled_task_management
claweval,T041zh_scheduled_task_management
claweval,T072_restaurant_menu_contact
claweval,T086_pinbench_calendar_event_creation
claweval,T089_pinbench_config_workflow_notes
claweval,T101_wal_recovery
claweval,T109zh_complaint_investigation
claweval,T129zh_business_trip_planning
claweval,T133zh_competitive_intelligence
claweval,T142_sla_compliance_audit
claweval,T141zh_sla_compliance_audit
claweval,T145zh_task_backtracking
claweval,T146_task_backtracking
claweval,T158_month_end_reconciliation
