bench_id,task_id
agentbench,large-codebase-navigation
agentbench,compare-technologies
agentbench,memory-organization
claweval,T036_vendor_procurement
claweval,C20zh_mental_health_social_work
claweval,T010_contact_lookup
claweval,T021zh_newsletter_curation
claweval,T067zh_synopsys_china_revenue
claweval,T080_officeqa_bond_yield_change
claweval,T083_officeqa_mad_excise_tax
claweval,T105zh_job_failure_triage
claweval,T113zh_meeting_preparation
claweval,T117zh_customer_followup
claweval,T123zh_todo_calendar_conflict
claweval,T124_todo_calendar_conflict
claweval,T130_business_trip_planning
claweval,T155zh_onsite_support_dispatch
claweval,T156_onsite_support_dispatch
