bench_id,task_id
clawbench,data-003
clawbench,web-011
claweval,C05zh_personal_finance_2
claweval,T011zh_expense_report
claweval,T026_ambiguous_contact_email
claweval,T071_video_mme_coauthor_papers
claweval,T103_schema_migration
claweval,T110_complaint_investigation
claweval,T161zh_automation_failure_recovery
claweval,T160_vip_ticket_escalation
agentbench,large-codebase-navigation
agentbench,compare-technologies
agentbench,memory-organization
claweval,T036_vendor_procurement
claweval,C20zh_mental_health_social_work
claweval,T010_contact_lookup
claweval,T021zh_newsletter_curation
claweval,T067zh_synopsys_china_revenue
claweval,T080_officeqa_bond_yield_change
claweval,T083_officeqa_mad_excise_tax
claweval,T105zh_job_failure_triage
claweval,T113zh_meeting_preparation
claweval,T117zh_customer_followup
claweval,T123zh_todo_calendar_conflict
claweval,T124_todo_calendar_conflict
claweval,T130_business_trip_planning
claweval,T155zh_onsite_support_dispatch
claweval,T156_onsite_support_dispatch
clawbench,cont-004-media-bias
clawbench,wfl-012
clawbench,cs-005-api-design
clawbench,db-004
clawbench,tool-002
clawbench,edu-004-curriculum-mapping
clawbench,web-015
clawbench,bio-003-gene-expression
clawbench,ds-004-time-series
clawbench,tool-004
clawbench,acct-005-financial-statements
clawbench,cs-003-log-analyzer
clawbench,db-002
clawbench,db-001
clawbench,fin-006
clawbench,bio-005-variant-annotation
clawbench,mm-006
clawbench,med-005-trial-eligibility
clawbench,tool-001
clawbench,sci-005-optimization
clawbench,sci-002-monte-carlo
clawbench,xdom-014
clawbench,ds-003-feature-engineering
claweval,C32zh_saas_metrics
claweval,C02zh_personal_finance
claweval,C03en_real_estate_finance
claweval,C08zh_personal_finance_3
claweval,C17en_devops_sop_design
claweval,C19en_ab_testing_sample_size
claweval,C23zh_academic_writing
