bench_id,task_id
agentbench,constraint-accumulation
agentbench,repo-refactor
clawbench,cs-001-api-rate-limiter
claweval,T030_cross_service_meeting
claweval,T032_escalation_budget_triage
claweval,T061_finance_mu_gm_beat
claweval,T131zh_order_profit_analysis
claweval,T132_order_profit_analysis
claweval,T148_system_health_check
claweval,T150_project_progress_report
clawbench,mem-001-recall-given-name
clawbench,mem-002-multi-step-instructions
clawbench,mem-003-context-carry-over
clawbench,mem-004-contradiction-resolution
clawbench,mem-005-long-document-summarization
clawbench,mem-006-cross-reference-synthesis
clawbench,mem-007-instruction-chaining
clawbench,mem-008-ambiguous-requirements
clawbench,mem-009-sequential-state-tracking
clawbench,mem-010-multi-file-context-correlation
clawbench,mem-011-conversation-tracker
clawbench,mem-012-fact-extraction-and-update
clawbench,mem-013-entity-relationship-tracker
clawbench,mem-014-preference-learning
clawbench,mem-015-timeline-reconstructor
